location,Basel
lat,47.75000
lon,7.50000
asl,363.653
variable,Temperature
unit,°C
level,2 m elevation corrected
resolution,hourly
aggregation,None
timestamp,Basel Temperature [2 m elevation corrected]
20240115T0400,-0.61975455
20240115T0500,-0.62975454
20240115T0600,-0.4297546
20240115T0700,-1.0897546
20240115T0800,-1.0097545
20240115T0900,-0.34975457
20240115T1000,1.5202454
20240115T1100,2.0202456
20240115T1200,2.1202455
20240115T1300,2.0402455
20240115T1400,1.9802454
20240115T1500,1.7302454
20240115T1600,1.5102453
20240115T1700,1.1102455
20240115T1800,0.5902454
20240115T1900,-0.46975458
20240115T2000,-0.8497546
20240115T2100,-2.4797544
20240115T2200,-1.6297547
20240115T2300,-2.8997545
20240116T0000,-3.7797546
20240116T0100,-4.2797546
20240116T0200,-5.209755
20240116T0300,-5.8997545
20240116T0400,-6.3197546
20240116T0500,-6.6297545
20240116T0600,-6.9097548
20240116T0700,-6.6697545
20240116T0800,-5.789755
20240116T0900,-3.5497546
20240116T1000,-2.2397547
20240116T1100,-0.6797546
20240116T1200,0.5402454
20240116T1300,1.4602454
20240116T1400,1.8202454
20240116T1500,1.5902454
20240116T1600,0.9502454
20240116T1700,-2.0797548
20240116T1800,-3.6297545
20240116T1900,-3.3697548
20240116T2000,-2.4497547
20240116T2100,-1.6697546
20240116T2200,-1.1897546
20240116T2300,-0.9697546
20240117T0000,-0.6697546
20240117T0100,-0.49975455
20240117T0200,-0.24975461
20240117T0300,0.040245414
20240117T0400,0.2702454
20240117T0500,0.6602454
20240117T0600,0.89024544
20240117T0700,1.4902453
20240117T0800,1.9902455
20240117T0900,2.5402455
20240117T1000,2.5102453
20240117T1100,4.150245
20240117T1200,5.7002454
20240117T1300,8.210245
20240117T1400,9.760245
20240117T1500,10.200245
20240117T1600,10.160245
20240117T1700,10.200245
20240117T1800,10.500245
20240117T1900,10.530245
20240117T2000,10.490245
20240117T2100,10.710245
20240117T2200,10.850245
20240117T2300,10.930245
20240118T0000,10.870245
20240118T0100,10.700245
20240118T0200,10.520246
20240118T0300,10.240245
20240118T0400,9.500245
20240118T0500,9.410245
20240118T0600,10.130245
20240118T0700,10.3102455
20240118T0800,10.580245
20240118T0900,10.640245
20240118T1000,10.500245
20240118T1100,9.950245
20240118T1200,8.990245
20240118T1300,6.0702453
20240118T1400,2.9402456
20240118T1500,1.3302454
20240118T1600,1.2102454
20240118T1700,1.1602454
20240118T1800,1.0802454
20240118T1900,0.9402454
20240118T2000,0.6002454
20240118T2100,0.4002454
20240118T2200,0.16024542
20240118T2300,-0.05975461
20240119T0000,-0.3697546
20240119T0100,-0.5797546
20240119T0200,-0.98975456
20240119T0300,-1.3097546
20240119T0400,-1.4697546
20240119T0500,-2.2497544
20240119T0600,-2.5597544
20240119T0700,-3.1097546
20240119T0800,-2.1197548
20240119T0900,-1.1097546
20240119T1000,0.060245395
20240119T1100,0.9402454
20240119T1200,1.2602453
20240119T1300,1.4202454
20240119T1400,1.3902454
20240119T1500,1.1002455
20240119T1600,-0.47975457
20240119T1700,-1.6797546
20240119T1800,-2.6697545
20240119T1900,-3.3697548
20240119T2000,-3.5097547
20240119T2100,-3.6397548
20240119T2200,-4.499755
20240119T2300,-4.8597546
20240120T0000,-5.1697545
20240120T0100,-5.3597546
20240120T0200,-5.269755
20240120T0300,-5.4097548
20240120T0400,-5.579755
20240120T0500,-5.7797546
20240120T0600,-5.9197545
20240120T0700,-6.249755
20240120T0800,-5.059755
20240120T0900,-3.2497544
20240120T1000,-1.7897545
20240120T1100,-0.7197546
20240120T1200,0.4402454
20240120T1300,1.2702454
20240120T1400,1.5202454
20240120T1500,0.6502454
20240120T1600,-0.62975454
20240120T1700,-2.8097544
20240120T1800,-3.1997547
20240120T1900,-3.3097544
20240120T2000,-3.4497547
20240120T2100,-3.9197545
20240120T2200,-4.349755
20240120T2300,-5.079755
20240121T0000,-5.3797545
20240121T0100,-5.119755
20240121T0200,-5.119755
20240121T0300,-4.9697547
20240121T0400,-4.6097546
20240121T0500,-3.7897549
20240121T0600,-3.499755
20240121T0700,-3.2997546
20240121T0800,-2.5997548
20240121T0900,-1.1597546
20240121T1000,0.6302454
20240121T1100,2.4202454
20240121T1200,4.2702456
20240121T1300,5.880245
20240121T1400,6.3202453
20240121T1500,5.4502454
20240121T1600,3.3402452
20240121T1700,1.9102454
20240121T1800,0.9502454
20240121T1900,0.5702454
20240121T2000,0.5302454
20240121T2100,0.4402454
20240121T2200,0.5502454
20240121T2300,0.3702454
20240122T0000,0.9402454
20240122T0100,1.3602455
20240122T0200,1.0402454
20240122T0300,1.5802454
20240122T0400,2.1102452
20240122T0500,2.9402456
20240122T0600,3.7202454
20240122T0700,5.0702453
20240122T0800,6.6602454
20240122T0900,8.080246
20240122T1000,9.390245
20240122T1100,9.470245
20240122T1200,9.0602455
20240122T1300,8.800245
20240122T1400,8.700245
20240122T1500,8.710245
20240122T1600,8.690246
20240122T1700,8.5602455
20240122T1800,8.740245
20240122T1900,8.660245
20240122T2000,8.540245
20240122T2100,8.380245
20240122T2200,8.150246
20240122T2300,8.170245
20240123T0000,7.8302455
20240123T0100,7.7402453
20240123T0200,7.5802455
20240123T0300,7.4502454
20240123T0400,7.3902454
20240123T0500,7.3902454
20240123T0600,7.0102453
20240123T0700,6.750245
20240123T0800,6.880245
20240123T0900,7.3902454
20240123T1000,8.170245
20240123T1100,8.610246
20240123T1200,8.990245
20240123T1300,8.910245
20240123T1400,8.910245
20240123T1500,8.5602455
20240123T1600,8.480246
20240123T1700,8.130245
20240123T1800,7.9902453
20240123T1900,8.270246
20240123T2000,8.430245
20240123T2100,9.010245
20240123T2200,9.300245
20240123T2300,9.610246
20240124T0000,10.160245
20240124T0100,10.730246
20240124T0200,11.3102455
20240124T0300,11.750245
20240124T0400,11.960245
20240124T0500,11.980246
20240124T0600,12.100245
20240124T0700,11.970245
20240124T0800,12.440246
20240124T0900,12.860246
20240124T1000,13.240245
20240124T1100,13.460245
20240124T1200,13.720245
20240124T1300,13.920245
20240124T1400,13.750245
20240124T1500,13.260245
20240124T1600,12.760245
20240124T1700,12.220245
20240124T1800,11.370245
20240124T1900,10.970245
20240124T2000,10.790245
20240124T2100,10.490245
20240124T2200,10.490245
20240124T2300,10.5602455
20240125T0000,10.470245
20240125T0100,10.430245
20240125T0200,10.240245
20240125T0300,10.110246
20240125T0400,10.0602455
20240125T0500,10.000245
20240125T0600,9.790245
20240125T0700,9.530245
20240125T0800,9.630245
20240125T0900,9.920245
20240125T1000,10.530245
20240125T1100,11.200245
20240125T1200,11.770246
20240125T1300,12.040245
20240125T1400,12.040245
20240125T1500,12.000245
20240125T1600,11.390245
20240125T1700,10.700245
20240125T1800,10.140245
20240125T1900,10.500245
20240125T2000,10.250245
20240125T2100,9.990245
20240125T2200,9.800245
20240125T2300,9.620245
20240126T0000,9.510245
20240126T0100,8.880245
20240126T0200,8.730246
20240126T0300,8.630245
20240126T0400,8.440246
20240126T0500,8.3102455
20240126T0600,8.340245
20240126T0700,8.8102455
20240126T0800,9.360246
20240126T0900,10.220245
20240126T1000,11.100245
20240126T1100,11.630245
20240126T1200,11.610246
20240126T1300,11.600245
20240126T1400,11.340245
20240126T1500,11.020246
20240126T1600,10.750245
20240126T1700,10.320246
20240126T1800,9.3102455
20240126T1900,8.320246
20240126T2000,7.3502455
20240126T2100,6.5302453
20240126T2200,5.4302454
20240126T2300,4.7402453
20240127T0000,3.6802454
20240127T0100,3.0902452
20240127T0200,2.4502454
20240127T0300,1.9902455
20240127T0400,1.5402454
20240127T0500,1.1102455
20240127T0600,0.5502454
20240127T0700,0.070245415
20240127T0800,0.64024544
20240127T0900,2.1902454
20240127T1000,3.9702454
20240127T1100,5.6202455
20240127T1200,7.0302453
20240127T1300,8.050245
20240127T1400,8.490246
20240127T1500,8.160246
20240127T1600,5.650245
20240127T1700,4.5402455
20240127T1800,3.5802455
20240127T1900,3.1202455
20240127T2000,3.1802454
20240127T2100,2.6602454
20240127T2200,1.7902454
20240127T2300,1.1602454
20240128T0000,0.9302454
20240128T0100,0.8702454
20240128T0200,0.4202454
20240128T0300,0.2702454
20240128T0400,0.4602454
20240128T0500,0.4402454
20240128T0600,0.2102454
20240128T0700,0.070245415
20240128T0800,0.6002454
20240128T0900,2.9902453
20240128T1000,5.0802455
20240128T1100,7.1002455
20240128T1200,8.890245
20240128T1300,9.980246
20240128T1400,10.730246
20240128T1500,10.260245
20240128T1600,7.5302453
20240128T1700,5.2402453
20240128T1800,3.7702456
20240128T1900,2.8002453
20240128T2000,2.2902455
20240128T2100,1.8302454
20240128T2200,1.5802454
20240128T2300,1.3702455
20240129T0000,1.3202454
20240129T0100,1.1702454
20240129T0200,1.0802454
20240129T0300,1.2002454
20240129T0400,1.2702454
20240129T0500,1.4802454
20240129T0600,1.4602454
20240129T0700,1.2602453
20240129T0800,1.8402454
20240129T0900,4.2902455
20240129T1000,7.1602454
20240129T1100,9.490245
20240129T1200,11.360246
20240129T1300,12.590245
20240129T1400,13.180245
20240129T1500,12.750245
20240129T1600,9.620245
20240129T1700,7.2202454
20240129T1800,6.2002454
20240129T1900,5.2802453
20240129T2000,4.400245
20240129T2100,3.5802455
20240129T2200,3.5102453
20240129T2300,2.9602456
20240130T0000,2.5502453
20240130T0100,2.6002455
20240130T0200,2.7602453
20240130T0300,2.5402455
20240130T0400,2.3802454
20240130T0500,1.9802454
20240130T0600,2.0202456
20240130T0700,2.0802455
20240130T0800,2.8302455
20240130T0900,4.8202453
20240130T1000,7.690245
20240130T1100,9.610246
20240130T1200,10.830245
20240130T1300,11.8102455
20240130T1400,12.020246
20240130T1500,11.680245
20240130T1600,10.820246
20240130T1700,9.720245
20240130T1800,8.540245
20240130T1900,7.3402452
20240130T2000,6.150245
20240130T2100,5.170245
20240130T2200,5.2202454
20240130T2300,4.8302455
20240131T0000,4.0902452
20240131T0100,3.4502454
20240131T0200,2.6602454
20240131T0300,2.3202453
20240131T0400,2.1402454
20240131T0500,2.2502456
20240131T0600,2.5102453
20240131T0700,2.9502454
20240131T0800,3.9402456
20240131T0900,5.5902452
20240131T1000,7.4502454
20240131T1100,9.840245
20240131T1200,11.300245
20240131T1300,12.270246
20240131T1400,12.760245
20240131T1500,12.670245
20240131T1600,10.730246
20240131T1700,8.600245
20240131T1800,8.400246
20240131T1900,7.900245
20240131T2000,7.360245
20240131T2100,7.3402452
20240131T2200,7.420245
20240131T2300,7.920245
20240201T0000,8.090245
20240201T0100,8.230246
